Tracking Number,Status ,Scheduled delivery date ,Shipper name ,Shipper company ,Recipient contact name ,Recipient company ,Master tracking number ,No. of packages ,Package Type ,Pkg Wt (Lbs) ,Total Wt (Lbs) ,Direction ,Service type ,
"884583736196","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583736196","3","Your Packaging","15.0","45.0","Inbound","FedEx Priority Overnight",
"884583736200","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583736196","3","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583736211","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583736196","3","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740659","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","225.0","Inbound","FedEx Priority Overnight",
"884583740660","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740670","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740681","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740692","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740707","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740718","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740729","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740730","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740740","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740751","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740762","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740773","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740784","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884583740795","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884583740659","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884584018882","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","","1","Your Packaging","320.0","320.0","Inbound","FedEx 1Day Freight",
"884605982946","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605982946","3","Your Packaging","15.0","45.0","Inbound","FedEx Priority Overnight",
"884605982957","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605982946","3","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605982968","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605982946","3","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998030","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","225.0","Inbound","FedEx Priority Overnight",
"884605998040","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998051","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998062","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998073","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998084","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998095","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998100","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998110","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998121","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998132","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998143","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998154","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998165","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"884605998176","Label created","Will be updated soon","Cal State DBA Total Tech","SCal","BRANDON IN","SCAL","884605998030","15","Your Packaging","15.0","15.0","Inbound","FedEx Priority Overnight",
"885508936262","On the way","10/28/25","DFW1 - TUVE","FedEx Supply Chain","BRANDON IN","TUVE","","1","Your Packaging","648.0","648.0","Outbound","FedEx 1Day Freight",
"456516701366","Out for delivery","10/28/25","Shipping Department","Hyla Mobile Inc","SCAL MOBILE LLC","SCAL MOBILE LLC","456516701366","5","Your Packaging","8.0","107.0","Inbound","FedEx Priority Overnight",
"456516701377","Out for delivery","10/28/25","Shipping Department","Hyla Mobile Inc","SCAL MOBILE LLC","SCAL MOBILE LLC","456516701366","5","Your Packaging","25.0","25.0","Inbound","FedEx Priority Overnight",
"456516701388","Out for delivery","10/28/25","Shipping Department","Hyla Mobile Inc","SCAL MOBILE LLC","SCAL MOBILE LLC","456516701366","5","Your Packaging","25.0","25.0","Inbound","FedEx Priority Overnight",
"456516701399","Out for delivery","10/28/25","Shipping Department","Hyla Mobile Inc","SCAL MOBILE LLC","SCAL MOBILE LLC","456516701366","5","Your Packaging","26.0","25.0","Inbound","FedEx Priority Overnight",
"456516701403","Out for delivery","10/28/25","Shipping Department","Hyla Mobile Inc","SCAL MOBILE LLC","SCAL MOBILE LLC","456516701366","5","Your Packaging","23.0","25.0","Inbound","FedEx Priority Overnight",
"885510251024","Out for delivery","10/28/25","Likewize","","BRANDON IN","TUVE","885510251024","2","Your Packaging","22.0","44.0","Outbound","FedEx Priority Overnight",
"885510251035","Out for delivery","10/28/25","Likewize","","BRANDON IN","TUVE","885510251024","2","Your Packaging","23.0","22.0","Outbound","FedEx Priority Overnight",
